bin_edges bin_midpoints muons muons__err nue nue__err numu numu__err nutau nutau__err noise noise__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err nue_cc nue_cc__err numu_cc numu_cc__err nutau_cc nutau_cc__err nu_nc nu_nc__err nu nu__err
27 27.5 0.07325259166527928 0.003081809709657299 8.624017700331263e-06 3.8864225294755726e-07 6.430249589730249e-05 2.1134617792989346e-06 1.3452296401901456e-06 7.005516397031623e-08 0.0 0.0 0.0733268634085171 0.0030818104596501755 0.08786465047925048 0.0005124631946106529 1.1982600427041419 0.050843560993314184 8.075383475254077e-06 3.7912702219130756e-07 5.7605130997025186e-05 2.0050006539949965e-06 1.151196612643327e-06 6.556483512014523e-08 7.440032152898364e-06 6.742459122991656e-07 7.427174323782343e-05 2.1500398180807294e-06
28 28.5 0.06325220246075844 0.002912052016786452 8.2779757926775e-06 3.801713325303409e-07 5.91693490491367e-05 1.990410508790079e-06 1.0648546378745453e-06 6.210401003115711e-08 0.0 0.0 0.06332071464023813 0.0029120527224951107 0.0846067510669845 0.0005028727423740623 1.3361622898238712 0.061959760253111895 7.71774991339333e-06 3.7131729055502245e-07 5.396202067766975e-05 1.9051003318122976e-06 9.063963345123634e-07 5.7238233753441336e-08 5.921604286331702e-06 5.827020601278607e-07 6.851217947968918e-05 2.0273433709270327e-06
29 29.5 0.068500937801453 0.00301397504915767 7.039649790526944e-06 3.3385219346999926e-07 5.494644570320298e-05 1.941442444934431e-06 8.970997508224096e-07 5.595884217612863e-08 0.0 0.0 0.06856382099669754 0.0030139756934541503 0.0795435569345271 0.00048759370530754656 1.160138915512868 0.051491638506692604 6.493881060606541e-06 3.235120986769787e-07 5.043449155603119e-05 1.869748532074361e-06 7.426975698358309e-07 5.019557859799982e-08 5.193542407233922e-06 5.294363832299316e-07 6.288319524455632e-05 1.9707327180760525e-06
30 30.5 0.0626332842983129 0.0028590433937727097 5.70235761040358e-06 3.054660007756327e-07 5.345139985540176e-05 1.9304908997256367e-06 8.355345625987286e-07 5.106905041717585e-08 0.0 0.0 0.0626932735903413 0.002859044062302645 0.07744833905562942 0.0004811291175862012 1.2353532463738077 0.056856962351402064 5.266955966314046e-06 2.956330114521264e-07 4.840516178197529e-05 1.8315634265096954e-06 7.449886838652077e-07 4.896687059915193e-08 5.57218559625143e-06 6.150539994661793e-07 5.998929202840203e-05 1.955175858960958e-06
31 31.5 0.05615541610549144 0.0027520379442133288 6.425322424659721e-06 3.369271561184645e-07 4.7595823814446796e-05 1.7997112543771891e-06 7.278250715509436e-07 4.8165400652992406e-08 0.0 0.0 0.0562101650768021 0.0027520385537252814 0.07354184865945361 0.0004688380576856832 1.308337176362506 0.06459668021157133 5.8773600099128185e-06 3.24078229739704e-07 4.352253964038447e-05 1.724953707445711e-06 6.119018002909669e-07 4.431562456992898e-08 4.701978894588489e-06 5.206785409707696e-07 5.474897131065859e-05 1.8316114253525175e-06
32 32.5 0.05710170912023045 0.0027182818151196254 5.212873412402744e-06 2.8598063947886575e-07 4.516867427772006e-05 1.7657390239722453e-06 6.79464771485578e-07 4.567899946328443e-08 0.0 0.0 0.057152770132692064 0.002718282404040434 0.07135995272279842 0.00046183076851553 1.2485825718879666 0.05993195416645487 4.7701866702470895e-06 2.758185994958552e-07 4.113489944407231e-05 1.6860643164203816e-06 5.469237819079234e-07 4.0916195924214126e-08 4.6021105459493825e-06 5.301842924613919e-07 5.1061012461606214e-05 1.7893311034929664e-06
33 33.5 0.05664324447849253 0.0027388191671677176 4.6492633818989024e-06 2.623587205740511e-07 3.899322965086604e-05 1.6408934790773004e-06 5.22695625022624e-07 3.8892065848322925e-08 0.0 0.0 0.05668740966715033 0.0027388196715595154 0.06803629754257845 0.00045094743664959863 1.200201207676714 0.058530143775879014 4.207323358381559e-06 2.5356071994735544e-07 3.5400891257857114e-05 1.5700639434425791e-06 4.3015050345948313e-07 3.488633783927933e-08 4.126823538088895e-06 4.819390199589911e-07 4.416518865778679e-05 1.662190151795374e-06
34 34.5 0.05604112245735109 0.0027189240388462745 4.583626497130233e-06 2.6814124931493823e-07 4.094299242271976e-05 1.6870484308980917e-06 4.746769181614152e-07 3.662398347618093e-08 0.0 0.0 0.056087123753189104 0.002718924575708122 0.06604270221415513 0.00044429149940963694 1.1775020324589198 0.05762856277530189 4.255317307869447e-06 2.6053427847313685e-07 3.7266076659905195e-05 1.607708019157058e-06 3.955906380367609e-07 3.33030913367798e-08 4.084311232201328e-06 5.154232949057765e-07 4.6001295838010714e-05 1.7086174100556732e-06
35 35.5 0.052633439975544434 0.002631552566190889 4.004777428334022e-06 2.3519012518030913e-07 3.730658575194154e-05 1.6117610969485713e-06 4.6760466479176326e-07 3.65848368462222e-08 0.0 0.0 0.0526752189433895 0.0026315530705369656 0.06511913256425587 0.0004411739798156562 1.2362384793168102 0.06232541623560494 3.603615839326002e-06 2.245530960406753e-07 3.360591313440117e-05 1.5292638309423125e-06 3.9132602985762334e-07 3.385243146742301e-08 4.178112841481118e-06 5.140123872243758e-07 4.17789678450714e-05 1.6292411358992422e-06
36 36.5 0.048525913330051934 0.0025314027437063763 3.78011245480564e-06 2.3311359813360052e-07 3.5962249014397094e-05 1.5673506114440385e-06 3.0883784697993864e-07 2.552610140427384e-08 0.0 0.0 0.048565964529368115 0.002531403239791251 0.06164304355832438 0.0004292374670272333 1.26926427088766 0.06674560089874712 3.483118682413508e-06 2.2611081285080096e-07 3.268716703090368e-05 1.4963518016851876e-06 2.5048401030946904e-07 2.273563735740127e-08 3.63042959255766e-06 4.699678152608238e-07 4.005119931617951e-05 1.5847969809037714e-06
