# all rates in Hertz, MC rates scaled by 0.9304512573921757
bin_edges bin_midpoints nuenuebar nuenuebar__err nuenuebar_frac nuenuebar_frac__err numunumubar numunumubar__err numunumubar_frac numunumubar_frac__err nutaunutaubar nutaunutaubar__err nutaunutaubar_frac nutaunutaubar_frac__err nue_ccnuebar_cc nue_ccnuebar_cc__err nue_ccnuebar_cc_frac nue_ccnuebar_cc_frac__err numu_ccnumubar_cc numu_ccnumubar_cc__err numu_ccnumubar_cc_frac numu_ccnumubar_cc_frac__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nutau_ccnutaubar_cc_frac nutau_ccnutaubar_cc_frac__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err nuall_ncnuallbar_nc_frac nuall_ncnuallbar_nc_frac__err muon muon__err muon_frac muon_frac__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
2.5 2.625 5.8608024198833015e-06 4.649862267679853e-08 0.24967788633760696 0.0046905978094228026 1.3900788504727397e-05 7.623123928894541e-08 0.5921918610516046 0.010594513431077576 1.0629375419027863e-06 1.2584314526148564e-08 0.04528253637604518 0.0009391698911492075 5.436613050751817e-06 4.496468628323457e-08 0.2316068616717147 0.004384626112186018 1.21511555038706e-05 7.11601821834575e-08 0.5176551955536491 0.009321907592172371 7.465435610191989e-07 1.0555249105547526e-08 0.031803736932311616 0.0007039316712659223 2.4902163508718715e-06 3.057255144485076e-08 0.10608648960758132 0.0022271010682450507 4.4035036030850225e-06 4.200402710952752e-07 0.18759504131521243 0.01817718712741842 2.522803206959851e-05 4.296108914683763e-07 2.27146388881996e-05 3.1069336738225445e-07 0.9003729987949508 0.01966611823566806
2.75 2.875 4.1498958841025145e-06 3.9273559837382714e-08 0.2550090044303717 0.004127787199603825 9.915379662787856e-06 6.449304034188668e-08 0.6092950683517016 0.008928978512259444 7.414903701671164e-07 1.0482480958644626e-08 0.04556420844565776 0.000879173095072422 3.844014440793756e-06 3.801504267214444e-08 0.23621274435293102 0.003883178206793595 8.67457521696575e-06 6.021527253815576e-08 0.533048262345313 0.00791781267336263 5.214876943404324e-07 8.823362295605648e-09 0.032045155220852904 0.0006863379252007267 1.7666885649575479e-06 2.5744376540910763e-08 0.10856211930863403 0.0021295817327013715 2.6831635494112936e-06 2.166580061231806e-07 0.1648790438527383 0.013488441096330362 1.748992946646878e-05 2.2967877302694123e-07 1.6042612124032458e-05 2.6110585190159783e-07 0.9172485317787542 0.019182375734433918
3.0 3.125 3.1645929036140196e-06 3.4433020417071606e-08 0.2572146231552658 0.0058480122514394705 7.206618985249902e-06 5.492744110146408e-08 0.5857460479032673 0.012516672114244972 5.517017992958318e-07 9.062362337188095e-09 0.044841714154733966 0.0011592709173926922 2.9198403297280545e-06 3.319532706061397e-08 0.23732140371889993 0.005452114750112447 6.281889433760479e-06 5.116018248139906e-08 0.5105850492056919 0.011008506852943474 3.8380954685108355e-07 7.572605323573591e-09 0.031195616928785128 0.0008755969570547041 1.3373743778201371e-06 2.2542065800408897e-08 0.10870031535989022 0.002840052526794999 2.300042753452548e-06 2.557288442347359e-07 0.186944939867202 0.021117746222300688 1.3222956441612302e-05 2.6397353061578273e-07 1.1703669878035864e-05 2.2301809167312774e-07 0.8851023543573597 0.024426910387750286
3.25 3.375 2.332821985505463e-06 2.9397640759423374e-08 0.2613268345110928 0.0056030267983198595 5.420965224593614e-06 4.762939820751424e-08 0.6072660884284378 0.01180809059189967 3.9889462978946526e-07 7.74582316070614e-09 0.044684880181189074 0.001163495218035673 2.1499496831407047e-06 2.8351882100559404e-08 0.24084115656666835 0.005247917087026644 4.7247847452115474e-06 4.4425283925601146e-08 0.5292787228875945 0.010443138769602742 2.801925068862939e-07 6.515539013578686e-09 0.031387658952664335 0.0009105872522429836 9.977549046499956e-07 1.931039391403607e-08 0.11177026471379248 0.0029048880062059576 1.4414120598119108e-06 1.5653739581634224e-07 0.16146952195974942 0.017757878816899126 9.594093899700454e-06 1.6642336050335363e-07 8.686383889144992e-06 1.9213149987298564e-07 0.9053886672316389 0.025449889580582346
3.5 3.625 1.765310557355775e-06 2.5641845901343723e-08 0.2620560380401271 0.00737307745165744 4.111650865229136e-06 4.1485126357396166e-08 0.6103645225801795 0.01594465703307895 3.165332194757937e-07 6.885400786245315e-09 0.04698858286338066 0.0015253509457743859 1.6372631328861492e-06 2.4804539317912043e-08 0.24304771080958318 0.006917863533822121 3.579651724098083e-06 3.862004749073188e-08 0.5313905502189769 0.014029280294960807 2.1390034634087715e-07 5.679813198779018e-09 0.03175298366847322 0.001138560310539517 7.626794387355954e-07 1.6937980905980408e-08 0.11321789878665406 0.0037100890934569524 1.0464179111616504e-06 1.6735588099511325e-07 0.155338181596782 0.025123959772925156 7.239912553222355e-06 1.7445320179851992e-07 6.264055700880488e-06 1.6315743498660002e-07 0.8652115139280888 0.030700321711128683
3.75 3.875 1.3774977926762575e-06 2.2728816937804524e-08 0.27194712942271504 0.006425863630276635 3.155637013605522e-06 3.6315088325312367e-08 0.6229893303007121 0.012744901360264077 2.4976402870180463e-07 6.151752860562104e-09 0.04930868927676874 0.0014732749685641621 1.2717428225730762e-06 2.192725971675855e-08 0.25106886689870067 0.006064051387464278 2.7388327414681212e-06 3.374405142505873e-08 0.5407033724272902 0.011314514600415637 1.7530237006263352e-07 5.185697938732587e-09 0.03460838672337233 0.0011793000405350624 5.970209008797538e-07 1.5062258607192225e-08 0.11786452295083284 0.003580027895168301 6.610345910678654e-07 8.12723811681389e-08 0.13050217608027298 0.016196001626407743 5.443933426051451e-06 9.207838380132527e-08 4.840406677953104e-06 1.43423391976647e-07 0.8891377427192214 0.030335688744884164
4.0 4.125 1.1326438984509196e-06 2.06734179959817e-08 0.29025456928512694 0.007277443476145671 2.4285387786407495e-06 3.1679065748870345e-08 0.6223443026980152 0.01342947603206994 1.880871319250346e-07 5.302987139640076e-09 0.04819974710466464 0.0015916189850012283 1.0494314873167008e-06 1.9960946214641933e-08 0.26893031848929205 0.00689467225348638 2.091566270222738e-06 2.9288448111756833e-08 0.5359907626087009 0.011883717727151669 1.3282539305009239e-07 4.475997114893881e-09 0.034038215632124266 0.0012876468718942917 4.7544665842717194e-07 1.351991028851817e-08 0.12183932235768945 0.004048490123871951 4.446555549386839e-07 6.114136210522512e-08 0.11394870599266241 0.01579022153069798 4.1939253639553875e-06 7.209258804511931e-08 3.6887383638834895e-06 1.2520393832413217e-07 0.8795431591573569 0.03346383428611302
4.25 4.375 8.816159656218684e-07 1.8224994456024418e-08 0.2897286498256978 0.008836007787501961 1.934776430759126e-06 2.8369730257072824e-08 0.6358325902174652 0.01703464283102987 1.4112833036356218e-07 4.612053747566337e-09 0.04637951466719179 0.0018381331650605833 8.079136549409365e-07 1.7522376546711553e-08 0.26550759236383775 0.008282580712787533 1.6829848992687466e-06 2.63658110466049e-08 0.5530854267121008 0.015128515577355861 9.594034754469564e-08 3.833974533232218e-09 0.03152922410873746 0.0014447554948689044 3.706818249901782e-07 1.1890080943380558e-08 0.12181851152567869 0.004767514012167708 3.1283034613127837e-07 6.495245024268378e-08 0.10280657037011441 0.02146966762246523 3.2703510728758355e-06 7.332860185548302e-08 2.7623040743367146e-06 1.0834647982707509e-07 0.8446506239795345 0.03816118485354523
4.5 4.625 6.648381975604487e-07 1.5829134752198545e-08 0.2899114043035644 0.008844362538519803 1.5149641950106196e-06 2.499550609357322e-08 0.6606199807062291 0.016660664197129305 1.1121044839130627e-07 4.055979817052548e-09 0.048494772690044215 0.001995938533048758 6.150280861072388e-07 1.5254752061496025e-08 0.26819105277607236 0.008391516051192224 1.313784046263428e-06 2.3246015480389604e-08 0.5728927417249048 0.014905028185361815 7.720855111744244e-08 3.3873010629240395e-09 0.03366780001635826 0.001610636294668229 2.849921574742656e-07 1.035515811034948e-08 0.12427456318250224 0.0050998621628697855 1.7364727186033374e-07 3.6307431578005176e-08 0.07572116738063162 0.015898072758625047 2.4646601128227083e-06 4.7010822072635364e-08 2.299086929563327e-06 9.884546752604107e-08 0.9328210886369419 0.04387477842489876
4.75 4.875 5.243645209106201e-07 1.394229864171341e-08 0.2792946270205542 0.011248762498650052 1.1631225045312197e-06 2.193990483358606e-08 0.6195191572422049 0.022086213984236342 9.306040424218374e-08 3.7670736350536415e-09 0.04956718057138158 0.0025048712336458085 4.847280987254812e-07 1.3437018897156606e-08 0.2581829016669722 0.010593657727345766 1.0095156151863731e-06 2.0417116088274175e-08 0.5377028307049843 0.019566696822683832 6.552241095848664e-08 3.195851404146905e-09 0.034899495675942784 0.002003044848991091 2.2078130481368284e-07 9.072617422301974e-09 0.11759573678624134 0.006000617742199417 2.372478004917313e-07 5.510086966200715e-08 0.1263663602463286 0.02959654165844633 2.017795230175755e-06 6.104132859631213e-08 1.725377621816471e-06 8.562905361107139e-08 0.8550806325705241 0.049699294007427654
