cos_theta,nominal,h1-100cm,h2-50cm,h3-30cm,dima,dima+,dima-,dragon,greco,baseline,msu2,martin_0.6_14,martin_0.8_40,martin_1.8_125,all,tilted,horizontal,bfp_three_flav,bfp_sterile
-0.62,0.03541210067200136,0.05491341070436028,0.07576230791820356,0.0965174560729581,0.10702119479823163,0.11562467258819109,0.09841758621104219,0.10883430851309361,0.11346651814452365,0.11050110544094364,0.1036770031827717,0.10737135601397786,0.1017414201654344,0.1129378831425994,0.12186409626632475,0.12901635843242792,0.11212069843418584,0.1117406491133878,0.08897069715690262
-0.6,0.03993788676587819,0.060123774387252485,0.08217651259810707,0.10422359942836343,0.11632459672339908,0.12557780528152335,0.10707124743968954,0.11810494032274264,0.12316467851210183,0.11992019754540707,0.11286922291348157,0.11643419039940654,0.11017795470024222,0.12184764879454635,0.13155809624560666,0.13914747783345283,0.12116601363416225,0.1208707466783457,0.09614320237521082
-0.5800000000000001,0.044803382711136465,0.06549033493213854,0.08864747124301507,0.11190667073351772,0.12575793271132724,0.13565119191614045,0.11586452298936416,0.12746867857986277,0.1329666632057913,0.12943515054757782,0.12222412017075782,0.12557182749782644,0.11865439484268618,0.13070839671140305,0.14121561204580305,0.14921294743522678,0.13020366945536105,0.13001687659471614,0.10330856609552803
-0.56,0.05001909003909263,0.07100226068827285,0.09514862420807865,0.11952585573486654,0.13528732609295188,0.14580675986065827,0.12476773221635325,0.13688821691539335,0.14283407229560854,0.1390081839407045,0.13171156981050042,0.1347462146913122,0.12713241678032652,0.13947075769473996,0.15078457306739043,0.1591556631986186,0.13918765418926124,0.1391349147588508,0.11043019900461433
-0.54,0.055595510281063056,0.07664872000490972,0.10165341184844885,0.12704034017885546,0.14487890019920885,0.1560064364836926,0.13375119447694397,0.1463262489602737,0.15272850585156983,0.14860151721803558,0.14130144668860928,0.1439192993619384,0.13557369670072336,0.14808536254612722,0.16021290871084537,0.16891852108449684,0.14807195612734167,0.1481807370671012,0.1174715117892296
-0.52,0.061543144968364154,0.08241888123130343,0.1081352745192767,0.13440930981192997,0.15449877836103384,0.1662121491538592,0.14278522912742347,0.15574546834544312,0.16261156394369136,0.15817736987281958,0.15096362566098429,0.15305302889177957,0.14393991079143673,0.15650284206713522,0.16944854837664428,0.1784444170537301,0.1568105635610811,0.15711021941581887,0.12439591513613384
-0.5,0.06787249563231233,0.08830191271670834,0.11456765257571325,0.14159195038053568,0.1641130839093627,0.17638582523977392,0.15184015552407892,0.1651085687018409,0.17244484664198956,0.1676979613983051,0.16066798158352538,0.1621093506629103,0.15219273524002683,0.16467382705933417,0.17843942146526362,0.18767624706718714,0.1653574647819586,0.16587923770135543,0.13116681973208708
-0.48,0.07458634076358894,0.0942911999246095,0.12093386492740214,0.14856155466210802,0.1736899867423452,0.18649147266642943,0.16088830560149467,0.1743828516149954,0.1821934106536791,0.1771297858892895,0.17038429480040013,0.17105627901173837,0.16030291830896776,0.17256366872827283,0.1871465553799006,0.1965715839232755,0.17367839609486171,0.17445370620115133,0.13776116725522067
-0.45999999999999996,0.0816565666903352,0.10039699677541498,0.12725674470195744,0.15534784355804274,0.18320584302698778,0.19650142158432646,0.16991006160744432,0.18355405048879136,0.19183613923476872,0.18645643584676622,0.18008196760884648,0.17988609609200465,0.16827749656038973,0.18019659989541423,0.1955833695346353,0.20514670777055935,0.18178608585831366,0.18283969271700293,0.14421002334915217
-0.43999999999999995,0.08904733670005714,0.10663377430376357,0.13356900358148574,0.16199464500072536,0.19263905549751068,0.20639008270034256,0.17888781836799847,0.19261250668170252,0.2013553722784653,0.19566577837327742,0.18973030779436997,0.1885971510117832,0.1761325786313369,0.18761157378619955,0.20377638134626824,0.2134325755951415,0.18970501044424642,0.19105330343179538,0.15055798464887046
-0.42000000000000004,0.09672281408026087,0.11301600354429404,0.13990335324809355,0.16854578692254155,0.20196802688813423,0.21613186672135531,0.18780397070922789,0.20154856155220263,0.210733449677976,0.20474568057136538,0.19929862314247612,0.19718779287914803,0.18388427315885333,0.19484754362607032,0.21175210823160018,0.22146014438312503,0.1974596462245918,0.19911064452841382,0.15684964778936447
-0.4,0.10464716211845258,0.11955815553164525,0.1462925053838877,0.1750450972558769,0.21117115993307897,0.22570118435424244,0.19664091345720328,0.21035255645876555,0.21995271132650787,0.21368400954357247,0.20875622143867067,0.2056563708021733,0.1915486887799834,0.20194346264046792,0.21953706760743186,0.22926037112061298,0.20507446957128203,0.20702782218974364,0.16312960940562315
-0.38,0.11278454410213838,0.12627470130045598,0.15276917167097473,0.18153640393311718,0.2202268573665651,0.23507244630588153,0.20538104143799543,0.21901483275986505,0.22899549711726805,0.22246863239244088,0.21807241046845918,0.21400123388893308,0.19914193413177117,0.20893828405483372,0.2271577768905639,0.23686421279370842,0.21257395685624897,0.21482094259867,0.16944246613263547
-0.36,0.12109912331882434,0.133180111885365,0.15936606379146118,0.1880635348866479,0.22911352192281312,0.2442200632831501,0.21400674947767498,0.22752573181397487,0.23784414694346345,0.2310874162205129,0.22721649801734708,0.22222073124750139,0.20668011785126086,0.21587096109460913,0.2346407534977971,0.24430262638851433,0.21998258445142455,0.2225061119380781,0.1758328146053904
-0.33999999999999997,0.12955506305601663,0.14028885832101118,0.16611589342745375,0.1946703180488547,0.23780955633604342,0.2531184459929259,0.22250043240231276,0.2358755949795688,0.24648100069830128,0.23952822813033087,0.23615779187084013,0.23031321198595237,0.21417934857549661,0.22278044698523558,0.2420125148459321,0.2516065688911337,0.22732482872874088,0.23009943639085317,0.1823452514588768
-0.31999999999999995,0.13811652660122137,0.14761541164203326,0.17305137226105913,0.20140058135212324,0.24629336334047627,0.2617420051420864,0.23084448503797944,0.2440547636151206,0.2548883982749885,0.247778935224437,0.2448655998144438,0.23827702521236005,0.2216557349415227,0.22970569495215443,0.24929957835176955,0.25880699728766965,0.23462516606012981,0.23761702213988045,0.18902437332808372
-0.29999999999999993,0.1467476772419446,0.1551742428830701,0.18020521197438377,0.20829815272883911,0.25454334567033216,0.27006515143750925,0.23902130221074563,0.25205357907910414,0.26304867956673217,0.2558274046053735,0.25330922963366376,0.24611052003479852,0.22912538558638318,0.23668565822080703,0.25652846143211017,0.26593486856422505,0.2419080728175234,0.24507497536804515,0.19591477684799996
-0.28,0.1554126782656924,0.16297982307876033,0.18761012424953435,0.21540686011138796,0.26253790605983124,0.278062295586072,0.24701327874668222,0.25986238272999285,0.27094418446673924,0.26366150337568267,0.26145798911400536,0.25381204556134174,0.23660440914712216,0.24375929001663474,0.2637256815037545,0.27302113970690295,0.24919802537285346,0.25248940225823235,0.20306105865361446
-0.26,0.16407569295997101,0.17104662326374298,0.19529882076861757,0.22277053143215542,0.27025544724319406,0.28570784829465234,0.2548028094718598,0.267471515926261,0.278557252868217,0.2712690986379069,0.2692811860409744,0.261379950900064,0.24410891426078404,0.2509655435650791,0.2709177559835035,0.2800967677018065,0.2565195000980522,0.2598764089933275,0.21050781537991634
-0.24,0.17270088461228658,0.17938911447265676,0.20330401321374003,0.23043299462352718,0.27767437195464095,0.29297622027012804,0.26237228921234923,0.2748713200263821,0.2858702246643724,0.27863805749458836,0.27674812820007644,0.2688125851590392,0.25165500956441283,0.2583433720915814,0.27813120228815774,0.28719270953503867,0.26389697336505147,0.2672521017562157,0.2182996436618944
-0.21999999999999997,0.18125241651014506,0.1880217677401404,0.2116584132670083,0.23843807761788874,0.2847730829283923,0.29984182221937644,0.2697041127942211,0.28205213638882987,0.2928654397484124,0.28575624704826924,0.2838281233768169,0.2761082974463414,0.25925880369505283,0.26593172882158306,0.2853925378345178,0.2943399221927023,0.27135492154578317,0.27463258672978214,0.22648114013453757
-0.19999999999999996,0.1896944519410527,0.19695905410083284,0.220394732610529,0.24682960834762582,0.2915299828986685,0.30627906484927525,0.27678067504354625,0.2890043063720783,0.29952523801354425,0.292611534401492,0.2904904793567016,0.2832654368700449,0.26693640528974816,0.2737695669805255,0.29272828003938456,0.30156936266090056,0.2789178210121795,0.28203397009691217,0.23509690143283488
-0.17999999999999994,0.19800121751812946,0.2062114445817611,0.22953712664541837,0.2556403988998827,0.29793216112543575,0.31227256127430425,0.2835915414061138,0.2957234095683907,0.3058397390645651,0.29919782001484563,0.2967157400540695,0.2902851723036243,0.2747012851090804,0.2818869080321259,0.30016003253601464,0.3089060470602045,0.28660545222036493,0.2894701148364095,0.24417998439231636
-0.16000000000000003,0.20618719315695125,0.2157734101795063,0.23907552564883056,0.2648591979808386,0.30400145297164427,0.3178477342393516,0.290154959806587,0.30222597850518984,0.3118301813526333,0.3055331377811067,0.30252939389859423,0.2971799516821574,0.28255636240778154,0.29027804639320554,0.3076897438234895,0.31635122804905674,0.2944188119632351,0.29694591111075236,0.25371728665067705
-0.14,0.2142769220987078,0.22563542188303773,0.2489913036169295,0.2744637384514312,0.3097683803259899,0.3230402088969076,0.2964963487893476,0.308533783943688,0.31752558304049694,0.31164155495109824,0.3079681654487831,0.30396504270612273,0.2905019185641208,0.2989283447188612,0.3153144486173464,0.32390021742036773,0.30235420111787825,0.3044640058783375,0.263684166046153
-0.12,0.22229494758458887,0.23578795068132472,0.259265834545879,0.2844317531725983,0.31526346507716874,0.3278856103994627,0.3026411268987771,0.31466859664509755,0.32295496229090476,0.31754713877564367,0.3130687792631428,0.3106557130759989,0.29853823495636744,0.3078231656641899,0.3230311816331228,0.3315483269670482,0.31040792056138244,0.3120270460975618,0.2740559804169803
-0.09999999999999998,0.23026581285578418,0.24622146756333646,0.2698804924318426,0.2947409750052778,0.3205172291138766,0.33241956389950705,0.3086147126792572,0.3206521873706307,0.32814733726660494,0.32327395650556623,0.31786795990018096,0.317267230492264,0.3066655929627906,0.31694787188428847,0.33083697758635583,0.33929086848200873,0.3185762711708361,0.319637678726822,0.28480808760139525
-0.07999999999999996,0.23821406115348345,0.25692644351804245,0.28081665127098443,0.30536913681040734,0.32556019432480954,0.3366776945495313,0.3144425246751697,0.3265063268815,0.33313172613034603,0.32884607539168914,0.32240243191840434,0.3238148626553969,0.3148842739616598,0.32628782603425394,0.3387288711925831,0.3471231537581599,0.32685555382332726,0.32729855072451486,0.2959158454376338
-0.05999999999999994,0.24616423571887666,0.267893349534412,0.2920556850594682,0.3162939714489249,0.3304228825986637,0.34069562750202553,0.3201499814308964,0.33225278593891777,0.33793714704487654,0.33428756268483595,0.32670891987632045,0.33031387726587613,0.32319455933124447,0.33582839076918347,0.34670389716734207,0.35504049458841247,0.3352420693959444,0.33501230904903734,0.30735461176393214
